Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"347,524,877.28",0.30,"347,524,877.28","1,386,384.00",250.67,United States,New York Stock Exchange Inc.,USD
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"346,539,636.00",0.30,"346,539,636.00","1,380,636.00",251.00,United States,New York Stock Exchange Inc.,USD
ABT,ABBOTT LABORATORIES,Health Care,Equity,"343,584,140.69",0.30,"343,584,140.69","2,629,001.00",130.69,United States,New York Stock Exchange Inc.,USD
NOVN,NOVARTIS AG,Health Care,Equity,"339,905,250.01",0.30,"339,905,250.01","2,874,081.00",118.27,Switzerland,SIX Swiss Exchange,CHF
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"335,892,154.48",0.29,"335,892,154.48","465,928.00",720.91,United States,New York Stock Exchange Inc.,USD
ROG,ROCHE HOLDING PAR AG,Health Care,Equity,"334,477,977.83",0.29,"334,477,977.83","1,057,194.00",316.38,Switzerland,SIX Swiss Exchange,CHF
LIN,LINDE PLC,Materials,Equity,"333,000,509.52",0.29,"333,000,509.52","708,753.00",469.84,United States,NASDAQ,USD
HSBA,HSBC HOLDINGS PLC,Financials,Equity,"332,370,864.12",0.29,"332,370,864.12","27,037,876.00",12.29,United Kingdom,London Stock Exchange,GBP
INTU,INTUIT INC,Information Technology,Equity,"326,125,093.07",0.28,"326,125,093.07","423,941.00",769.27,United States,NASDAQ,USD
DIS,WALT DISNEY,Communication,Equity,"323,798,298.24",0.28,"323,798,298.24","2,736,632.00",118.32,United States,New York Stock Exchange Inc.,USD
SHEL,SHELL PLC,Energy,Equity,"322,764,204.29",0.28,"322,764,204.29","9,023,652.00",35.77,United Kingdom,London Stock Exchange,GBP
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"320,208,838.89",0.28,"320,208,838.89","1,071,757.00",298.77,United States,New York Stock Exchange Inc.,USD
USD,USD CASH,Cash and/or Derivatives,Cash,"318,989,472.09",0.28,"318,989,472.09","318,989,472.00",100.00,United States,--,USD
RTX,RTX CORP,Industrials,Equity,"313,607,672.46",0.27,"313,607,672.46","2,006,062.00",156.33,United States,New York Stock Exchange Inc.,USD
CAT,CATERPILLAR INC,Industrials,Equity,"312,906,572.23",0.27,"312,906,572.23","720,601.00",434.23,United States,New York Stock Exchange Inc.,USD
MRK,MERCK & CO INC,Health Care,Equity,"309,221,543.67",0.27,"309,221,543.67","3,827,473.00",80.79,United States,New York Stock Exchange Inc.,USD
T,AT&T INC,Communication,Equity,"301,719,800.35",0.26,"301,719,800.35","10,864,955.00",27.77,United States,New York Stock Exchange Inc.,USD
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Equity,"290,455,981.52",0.25,"290,455,981.52","2,534,780.00",114.59,Australia,Asx - All Markets,AUD
PEP,PEPSICO INC,Consumer Staples,Equity,"288,627,613.65",0.25,"288,627,613.65","2,069,757.00",139.45,United States,NASDAQ,USD
SIE,SIEMENS N AG,Industrials,Equity,"287,266,955.73",0.25,"287,266,955.73","1,135,155.00",253.07,Germany,Xetra,EUR
NOW,SERVICENOW INC,Information Technology,Equity,"280,832,487.52",0.24,"280,832,487.52","310,271.00",905.12,United States,New York Stock Exchange Inc.,USD
RY,ROYAL BANK OF CANADA,Financials,Equity,"278,929,142.85",0.24,"278,929,142.85","2,135,498.00",130.62,Canada,Toronto Stock Exchange,CAD
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"271,997,910.96",0.24,"271,997,910.96","49,836.00","5,457.86",United States,NASDAQ,USD
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"271,745,431.12",0.24,"271,745,431.12","6,368,536.00",42.67,United States,New York Stock Exchange Inc.,USD
SPGI,S&P GLOBAL INC,Financials,Equity,"269,653,361.82",0.23,"269,653,361.82","478,941.00",563.02,United States,New York Stock Exchange Inc.,USD
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"269,476,020.68",0.23,"269,476,020.68","577,754.00",466.42,United States,New York Stock Exchange Inc.,USD
