Ticker,Name,Sector,P/E,P/B,PEG,D/E,ROIC,Dividend Yield %,1M %,1Y %,Peter Lynch,Personal Model
ADI,"Analog Devices, Inc.",Technology,60.86,3.17,1.31,0.21,0.05,0.02,-7.73,7.8,1.53,62.5
KLAC,KLA Corporation,Technology,30.12,25.74,1.97,1.25,0.46,0.01,-0.91,23.64,1.02,75.0
IBE,,,,,,0.0,,,,,0.0,12.5
UCG,,,,,,0.0,,,,,0.0,12.5
AI,"C3.ai, Inc.",Technology,,3.54,,0.07,-0.39,0.0,-19.2,-11.3,0.0,25.0
MO,"Altria Group, Inc.",Consumer Defensive,12.42,-33.14,,0.0,0.55,0.06,11.15,37.03,0.0,50.0
CRWD,"CrowdStrike Holdings, Inc.",Technology,,30.64,4.84,0.22,-0.01,0.0,-17.34,76.21,0.0,25.0
WELL,Welltower Inc.,Real Estate,94.4,3.11,3.7,0.47,0.03,0.02,10.36,45.98,0.54,50.0
CEG,Constellation Energy Corporatio,Utilities,35.38,7.98,,0.63,0.2,0.0,5.88,78.02,0.0,50.0
PANW,"Palo Alto Networks, Inc.",Technology,95.46,15.39,2.11,0.11,0.17,0.0,-18.93,0.8,0.95,75.0
TMUS,"T-Mobile US, Inc.",Communication Services,23.13,4.52,1.01,1.94,0.13,0.01,5.45,27.91,1.99,75.0
MELI,"MercadoLibre, Inc.",Consumer Cyclical,58.27,20.89,1.51,1.58,0.22,0.0,-4.98,24.96,1.32,50.0
ICE,Intercontinental Exchange Inc.,Financial Services,35.78,3.75,2.99,0.69,0.1,0.01,2.33,22.34,0.67,62.5
ZURN.SW,ZURICH INSURANCE N,Financial Services,17.49,3.31,2.46,0.6,,0.05,2.98,31.57,0.82,62.5
BBVA,Banco Bilbao Vizcaya Argentaria,Financial Services,9.11,1.95,2.8,0.0,,0.02,16.62,104.38,0.72,50.0
MMC,"Marsh & McLennan Companies, Inc",Financial Services,24.42,6.35,2.21,1.35,0.18,0.02,-4.49,-6.04,0.91,75.0
7974.T,NINTENDO CO LTD,Communication Services,59.88,6.19,3.32,0.0,0.11,0.01,10.55,92.04,0.6,50.0
SO,Southern Company (The),Utilities,24.47,3.06,4.06,1.9,0.08,0.03,2.97,12.79,0.49,25.0
CB,Chubb Limited,Financial Services,11.98,1.56,2.4,0.29,0.15,0.01,-3.13,1.67,0.84,87.5
CME,CME Group Inc.,Financial Services,27.29,3.66,8.56,0.14,0.16,0.02,2.38,42.71,0.23,75.0
ABBN.SW,ABB LTD N,Industrials,29.23,6.98,2.84,0.67,0.26,0.02,13.82,21.23,0.7,62.5
SPOT,Spotify Technology S.A.,Communication Services,158.27,21.92,2.45,0.37,0.15,0.0,-2.25,107.68,0.82,75.0
SBUX,Starbucks Corporation,Consumer Cyclical,39.88,-13.59,2.71,0.0,0.42,0.03,-3.29,25.74,0.74,62.5
ENB.TO,ENBRIDGE INC,Energy,22.78,2.41,,1.48,0.09,0.06,7.91,29.36,0.0,37.5
1299.HK,AIA,Financial Services,15.14,19.55,1.11,0.45,,0.0,7.45,45.62,1.81,87.5
OR,OR Royalties Inc.,Basic Materials,72.4,4.43,,0.03,0.09,0.01,14.24,88.32,0.0,25.0
AMT,American Tower Corporation (REI,Real Estate,38.53,26.04,52.79,4.31,0.11,0.03,-6.91,-4.2,0.04,62.5
PLD,"Prologis, Inc.",Real Estate,28.49,1.86,,0.62,0.05,0.04,-0.67,-10.27,0.0,25.0
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,26.09,5.47,,0.09,0.26,0.0,-23.47,-21.75,0.0,50.0
INTC,Intel Corporation,Technology,,0.89,,0.48,-0.07,0.01,-14.89,1.22,0.0,12.5
DASH,"DoorDash, Inc.",Consumer Cyclical,142.41,12.4,1.38,0.36,0.05,0.0,5.34,109.34,1.45,37.5
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,37.04,-71.36,2.23,0.0,0.76,0.0,11.61,37.85,0.9,75.0
CDNS,"Cadence Design Systems, Inc.",Technology,95.41,19.16,3.61,0.49,0.2,0.0,9.03,30.33,0.55,62.5
ISP,"ISP,0P0000LYZW,0",,,,,0.0,,,0.0,0.0,0.0,12.5
PH,Parker-Hannifin Corporation,Industrials,26.82,6.77,3.24,0.68,0.2,0.01,2.85,29.04,0.62,75.0
8316.T,SUMITOMO MITSUI FINANCIAL GROUP,Financial Services,12.64,1.03,1.36,0.0,,0.03,6.53,38.39,1.47,50.0
BNP,14831,,,,,0.0,,,,,0.0,12.5
BN.TO,BROOKFIELD CORPORATION,Financial Services,145.95,3.13,,1.57,0.07,0.0,3.99,46.84,0.0,12.5
BMY,Bristol-Myers Squibb Company,Healthcare,18.45,5.36,,2.92,0.13,0.05,-3.59,2.98,0.0,50.0
RHM,Round Hill Music Royalty Ltd,,,,,0.0,,,,,0.0,12.5
LMT,Lockheed Martin Corporation,Industrials,23.87,18.51,1.79,4.06,0.22,0.03,-8.08,-20.8,1.12,75.0
MSTR,MicroStrategy Incorporated,Technology,27.69,2.34,,0.16,0.12,0.0,-4.88,191.89,0.0,50.0
NKE,"Nike, Inc.",Consumer Cyclical,34.35,8.29,4.44,0.83,0.17,0.02,0.86,1.94,0.45,62.5
CFR.SW,RICHEMONT N,Consumer Cyclical,22.09,3.51,2.61,0.59,,0.02,-12.15,7.22,0.77,62.5
MCK,McKesson Corporation,Healthcare,26.81,-42.49,1.05,0.0,0.79,0.0,-8.06,24.11,1.91,75.0
MUV2,,,,,,0.0,,,,,0.0,12.5
WM,"Waste Management, Inc.",Industrials,34.88,10.29,2.98,2.61,0.13,0.01,4.14,16.16,0.67,62.5
REL.L,RELX PLC ORD 14 51/116P,Industrials,34.73,3005.88,2.7,3.43,,0.0,-9.09,2.3,0.74,50.0
TT,Trane Technologies plc,Industrials,33.95,12.23,3.2,0.59,0.31,0.01,-0.81,30.5,0.62,75.0
MDLZ,"Mondelez International, Inc.",Consumer Defensive,22.65,3.05,5.11,0.82,0.1,0.03,-7.51,-8.78,0.39,37.5
